干员名字,稀有度,分支,描述,再部署时间,部署费用,阻挡数,攻击间隔,生命上限,攻击,防御,法术抗性,攻击范围,上线时间（国服）
铃兰,5,无畏者,能够阻挡一个敌人,80s,18→20,1,1.5s,"['1459', '2085', '2857', '3810', '0']","['403', '593', '751', '905', '75']","['107', '154', '201', '243', '25']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年4月15日 16:00
斯卡蒂,5,尖兵,能够阻挡两个敌人,70s,12→14,2,1.05s,"['911', '1199', '1643', '2251', '0']","['212', '308', '422', '515', '60']","['154', '227', '307', '384', '25']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年4月15日 16:00
灵知,6,领主,可以进行远程攻击，但此时攻击力降低至80%,70s,15→17,2,1.3s,"['856', '1224', '1611', '2040', '0']","['287', '423', '565', '698', '30']","['154', '212', '269', '325', '25']","['5', '5', '10', '10', '0']","[7, 8, 8]",2021年4月15日 16:00
孑,5,削弱者,攻击造成法术伤害,70s,10→12,1,1.6s,"['629', '925', '1251', '1605', '0']","['193', '277', '356', '430', '65']","['46', '67', '89', '102', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2021年5月1日 16:00
梅尔,6,哨戒铁卫,能够阻挡三个敌人，可以进行远程攻击,70s,18→20→22,3,1.2s,"['1296', '1728', '2305', '3213', '0']","['230', '295', '369', '445', '45']","['243', '364', '493', '676', '45']","['0', '0', '0', '0', '0']","[3, 3, 3]",2021年5月1日 16:00
奥斯塔,6,速射手,优先攻击空中单位,70s,10→12,1,1.0s,"['550', '786', '1008', '1230', '0']","['166', '277', '397', '485', '65']","['57', '95', '136', '162', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2021年5月1日 16:00
猎蜂,6,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,10→12,1,1.9s,"['553', '738', '935', '——', '0']","['192', '283', '378', '——', '40']","['44', '64', '83', '——', '0']","['10', '10', '15', '——', '0']","[12, 12]",2021年5月1日 16:00
埃拉托,4,术战者,攻击造成法术伤害,70s,19→21,1,1.25s,"['1199', '1578', '1998', '2629', '0']","['282', '409', '532', '657', '45']","['170', '243', '312', '376', '45']","['15', '15', '15', '20', '0']","[2, 2, 2]",2021年6月1日 16:00
早露,5,铁卫,能够阻挡三个敌人,70s,17→19→21,3,1.2s,"['1344', '1793', '2391', '3416', '0']","['195', '251', '314', '370', '0']","['232', '347', '470', '645', '75']","['0', '0', '0', '0', '0']","[1, 1, 1]",2021年6月1日 16:00
暴雨,5,投掷手,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）,70s,22→24,1,2.1s,"['778', '1038', '1314', '1730', '150']","['311', '421', '533', '628', '60']","['120', '156', '196', '240', '0']","['10', '10', '10', '15', '0']","[12, 19, 19]",2021年6月1日 16:00
因陀罗,6,链愈师,恢复友方单位生命，且会在3个友方单位间跳跃，每次跳跃治疗量降低25%,70s,16→18,1,2.85s,"['913', '1202', '1432', '1666', '200']","['153', '252', '351', '439', '50']","['74', '108', '136', '171', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2021年6月1日 16:00
寒芒克洛丝,6,铁卫,能够阻挡三个敌人，且不受部署数量限制，但再部署时间极长,200s,3,3,1.2s,"['921', '1152', '——', '——', '100']","['158', '198', '——', '——', '0']","['188', '235', '——', '——', '70']","['0', '0', '——', '——', '0']",[1],2021年7月2日 16:00
霍尔海雅,5,无畏者,能够阻挡一个敌人,80s,18→20,1,1.5s,"['1496', '2138', '2930', '3907', '400']","['408', '601', '761', '918', '45']","['86', '123', '161', '195', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年8月3日 16:00
极光,5,中坚术师,攻击造成法术伤害,70s,19→21,1,1.6s,"['732', '1046', '1359', '1743', '0']","['292', '406', '535', '645', '90']","['46', '79', '109', '122', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2021年8月3日 16:00
野鬃,6,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害,70s,22→24,1,2.0s,"['1104', '1380', '1726', '2106', '0']","['435', '581', '727', '846', '80']","['146', '170', '198', '228', '30']","['15', '15', '15', '15', '0']","[9, 13, 13]",2021年8月3日 16:00
提丰,6,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）,25s,5→7,1,1.0s,"['1110', '1461', '1804', '2284', '200']","['321', '441', '559', '674', '40']","['195', '250', '321', '378', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年8月3日 16:00
火神,4,攻城手,优先攻击重量最重的敌人,70s,21→23,1,2.4s,"['811', '1054', '1318', '1648', '150']","['428', '595', '784', '957', '70']","['60', '81', '102', '125', '0']","['0', '0', '0', '0', '0']","[10, 14, 14]",2021年9月17日 16:00
波登可,5,重射手,高精度的近距离射击,70s,16→18→20,1,1.6s,"['768', '1067', '1369', '1802', '0']","['373', '512', '674', '876', '70']","['73', '105', '140', '193', '30']","['0', '0', '0', '0', '0']","[7, 9, 9]",2021年9月17日 16:00
讯使,6,中坚术师,攻击造成法术伤害,70s,18→20,1,1.6s,"['654', '935', '1215', '1500', '0']","['283', '399', '525', '625', '70']","['45', '76', '106', '119', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2021年9月17日 16:00
布洛卡,5,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,80s,12→14,1,1.0s,"['877', '1219', '1564', '2235', '0']","['235', '347', '463', '552', '0']","['166', '231', '300', '367', '70']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年10月15日 16:00
夜烟,6,尖兵,能够阻挡两个敌人,70s,12→14,2,1.05s,"['892', '1174', '1609', '2205', '0']","['218', '316', '434', '530', '85']","['148', '219', '297', '372', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年10月15日 16:00
薄绿,1,尖兵,能够阻挡两个敌人,60s,10→12,2,1.05s,"['691', '947', '1298', '1855', '0']","['236', '348', '477', '582', '0']","['144', '216', '285', '357', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年11月1日 16:00
羽毛笔,4,速射手,优先攻击空中单位,70s,12→14,1,1.0s,"['725', '1036', '1364', '1705', '0']","['178', '298', '427', '528', '90']","['61', '102', '146', '172', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2021年11月1日 16:00
玫拉,5,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,12→14,1,1.9s,"['528', '724', '930', '1163', '0']","['208', '306', '408', '492', '50']","['43', '62', '80', '96', '0']","['10', '10', '15', '20', '0']","[12, 12, 12]",2021年11月1日 16:00
临光,5,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）,70s,20→22,1,1.3s,"['605', '865', '1124', '1480', '0']","['153', '216', '278', '331', '60']","['50', '76', '105', '125', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2021年11月1日 16:00
古米,5,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）,25s,6→8,1,1.0s,"['1165', '1534', '1894', '2398', '200']","['346', '474', '601', '725', '40']","['204', '262', '336', '396', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2021年11月1日 16:00
澄闪,6,守护者,技能可以治疗友方单位,70s,15→17,2→3,1.2s,"['1057', '1429', '1833', '——', '0']","['165', '236', '320', '——', '30']","['225', '331', '442', '——', '30']","['10', '10', '10', '——', '0']","[1, 1]",2021年11月1日 16:00
Pith,6,炮手,攻击造成群体物理伤害,80s,26→28→30,1,2.8s,"['844', '1056', '1320', '1650', '0']","['364', '520', '651', '835', '85']","['59', '77', '97', '115', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]",2021年11月1日 16:00
焰尾,5,驭法铁卫,技能开启时普通攻击会造成法术伤害,70s,21→23→25,3,1.6s,"['1234', '1691', '2255', '3090', '0']","['286', '403', '538', '649', '0']","['221', '325', '440', '550', '0']","['5', '5', '10', '15', '0']","[1, 1, 1]",2021年12月21日 16:00
幽灵鲨,5,陷阱师,可以使用陷阱来协助作战，但陷阱无法放置于敌人已在的格子中,70s,10→12,1,0.85s,"['702', '936', '1186', '1502', '0']","['263', '361', '476', '581', '80']","['70', '107', '142', '172', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2021年12月21日 16:00
预备干员-近战,6,扩散术师,攻击造成群体法术伤害,70s,31→34,1,2.9s,"['822', '1142', '1428', '1831', '0']","['387', '546', '700', '834', '105']","['52', '80', '110', '132', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2021年12月21日 16:00
伊桑,5,医师,恢复友方单位生命,70s,16→18,1,2.85s,"['752', '1060', '1278', '1420', '0']","['161', '264', '372', '465', '60']","['57', '83', '104', '131', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年1月5日 16:00
清流,5,斗士,能够阻挡一个敌人,70s,7→9,1,0.78s,"['1124', '1520', '1949', '2378', '0']","['218', '321', '428', '529', '60']","['129', '188', '258', '308', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年1月5日 16:00
陨星,5,无畏者,能够阻挡一个敌人,70s,15→17,1,1.5s,"['1514', '2019', '2693', '3640', '450']","['396', '592', '760', '916', '0']","['70', '100', '131', '156', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年1月10日 16:00
郁金香,5,处决者,再部署时间大幅度减少,18s,6→8,1,0.93s,"['663', '885', '1107', '1420', '300']","['176', '256', '352', '452', '0']","['151', '216', '281', '335', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年1月25日 16:00
卡夫卡,5,医师,恢复友方单位生命,70s,16→18,1,2.85s,"['725', '994', '1170', '1345', '0']","['173', '284', '395', '488', '60']","['53', '77', '97', '122', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年1月25日 16:00
缄默德克萨斯,6,秘术师,攻击造成法术伤害，在找不到攻击目标时可以将攻击能量储存起来之后一齐发射（最多3个）,70s,22→24,1,3.0s,"['674', '964', '1252', '1546', '0']","['543', '776', '1008', '1245', '130']","['48', '81', '112', '125', '0']","['10', '10', '15', '20', '0']","[8, 10, 10]",2022年1月25日 16:00
初雪,6,医师,恢复友方单位生命,70s,18→20,1,2.85s,"['854', '1204', '1451', '1613', '0']","['180', '296', '424', '530', '80']","['60', '88', '110', '138', '20']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年1月25日 16:00
洛洛,5,群愈师,同时恢复三个友方单位的生命,70s,14→16,1,2.85s,"['710', '960', '1232', '1560', '150']","['117', '189', '256', '320', '25']","['69', '92', '120', '145', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年2月15日 16:00
巫恋,6,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%,70s,15→17,2,1.05s,"['794', '1088', '1413', '1963', '300']","['302', '432', '577', '687', '50']","['213', '301', '382', '455', '0']","['0', '0', '0', '0', '0']","[3, 3, 3]",2022年2月15日 16:00
歌蕾蒂娅,5,行医,恢复友方单位生命，并回复相当于攻击力50%的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤（可以回复未受伤友方单位的元素损伤术语: 元素损伤包括神经损伤、侵蚀损伤、灼燃损伤、凋亡损伤※最大元素值默认为1000，受到附加元素损伤的伤害时先结算伤害后结算元素损伤）,70s,13→15,1,2.85s,"['799', '1052', '1253', '1458', '150']","['131', '216', '300', '375', '35']","['46', '68', '85', '107', '0']","['10', '10', '10', '10', '0']","[12, 18, 18]",2022年3月15日 16:00
玛恩纳,5,吟游者,不攻击，持续恢复范围内所有友军生命（每秒恢复相当于自身攻击力10%的生命），自身不受鼓舞术语: 鼓舞获得额外附加的基础属性加成（同类属性取比例最高）※给予他人鼓舞效果的角色会将自身的鼓舞BUFF重写后适用于受益者（先最终乘算计算加成数值后，重写为最终加算，再将鼓舞赋予受益者）影响，且不受部署数量限制，但再部署时间极长,200s,3,1,1.3s,"['308', '385', '——', '——', '120']","['81', '102', '——', '——', '20']","['22', '28', '——', '——', '0']","['0', '0', '——', '——', '0']",[9],2022年3月15日 16:00
安比尔,6,教官,可以攻击到较远敌人，攻击自身未阻挡的敌人时攻击力提升至120%,70s,13→15,2,1.05s,"['818', '1121', '1457', '2024', '0']","['264', '378', '505', '602', '30']","['178', '252', '320', '382', '30']","['0', '0', '0', '0', '0']","[3, 3, 3]",2022年3月15日 16:00
凛视,4,武者,精英阶段0,70s,21→23→25,1,1.2s,"['1442', '2004', '2638', '3518', '0']","['324', '463', '602', '726', '40']","['169', '232', '298', '351', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年4月14日 16:00
豆苗,5,重射手,高精度的近距离射击,70s,15→17→19,1,1.6s,"['709', '985', '1264', '1664', '0']","['337', '462', '609', '792', '90']","['79', '114', '153', '210', '0']","['0', '0', '0', '0', '0']","[7, 9, 9]",2022年4月14日 16:00
贝娜,5,凝滞师,攻击造成法术伤害，并对敌人造成短暂的停顿术语: 停顿移动速度降低80%,70s,14→16,1,1.9s,"['673', '922', '1184', '1480', '0']","['220', '324', '432', '521', '75']","['57', '83', '107', '128', '0']","['15', '15', '20', '25', '0']","[12, 12, 12]",2022年4月14日 16:00
赤冬,6,医师,恢复友方单位生命,70s,17→19,1,2.85s,"['805', '1135', '1368', '1520', '0']","['172', '282', '404', '505', '75']","['55', '80', '100', '125', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年4月14日 16:00
嵯峨,5,铁卫,能够阻挡三个敌人,70s,17→19→21,3,1.2s,"['1221', '1629', '2173', '3105', '0']","['193', '248', '310', '365', '0']","['249', '372', '503', '690', '75']","['0', '0', '0', '0', '0']","[1, 1, 1]",2022年5月1日 16:00
令,6,铁卫,能够阻挡三个敌人,70s,19→21→23,3,1.2s,"['1602', '2165', '2849', '3850', '0']","['221', '284', '356', '430', '60']","['257', '384', '527', '723', '60']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年5月1日 16:00
火龙S黑角,6,怪杰,自身生命会不断流失,70s,10→12,1,1.3s,"['805', '1150', '1514', '1893', '200']","['233', '389', '549', '662', '45']","['53', '82', '110', '138', '0']","['10', '10', '10', '10', '0']","[10, 12, 12]",2022年5月1日 16:00
罗小黑,6,链术师,精英阶段0,80s,31→34,1,2.3s,"['589', '842', '1094', '1440', '0']","['293', '407', '522', '630', '75']","['48', '74', '102', '122', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2022年5月1日 16:00
芙兰卡,5,速射手,优先攻击空中单位,70s,10→12,1,1.0s,"['612', '875', '1123', '1370', '0']","['159', '266', '381', '465', '65']","['58', '97', '139', '165', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年5月19日 16:00
红豆,5,武者,精英阶段0,70s,21→23→25,1,1.2s,"['1491', '2071', '2726', '3635', '0']","['325', '465', '604', '728', '30']","['157', '216', '278', '328', '55']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年6月9日 16:00
卡缇,5,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）,70s,9→11,1,1.6s,"['660', '972', '1314', '1685', '350']","['200', '286', '367', '443', '35']","['83', '119', '157', '179', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2022年6月9日 16:00
水月,6,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）,70s,10→12,1,1.6s,"['658', '969', '1310', '1680', '400']","['209', '299', '384', '463', '0']","['80', '115', '151', '172', '30']","['15', '15', '20', '25', '0']","[12, 16, 16]",2022年6月9日 16:00
海沫,5,尖兵,能够阻挡两个敌人,70s,9→11,2,1.05s,"['711', '1016', '1270', '——', '0']","['168', '248', '355', '——', '50']","['128', '184', '240', '——', '0']","['0', '0', '0', '——', '0']","[2, 2]",2022年7月5日 16:00
夜半,5,守护者,技能可以治疗友方单位,70s,17→19→21,2→3→3,1.2s,"['1154', '1560', '2001', '2780', '0']","['191', '273', '369', '462', '40']","['240', '353', '471', '575', '50']","['10', '10', '10', '10', '0']","[1, 1, 1]",2022年7月5日 16:00
闪灵,6,攻城手,优先攻击重量最重的敌人,70s,20→22,1,2.4s,"['706', '942', '1193', '1550', '0']","['439', '610', '763', '920', '50']","['51', '68', '86', '105', '40']","['0', '0', '0', '0', '0']","[10, 14, 14]",2022年7月5日 16:00
絮雨,5,尖兵,能够阻挡两个敌人,70s,10→12,2,1.05s,"['758', '1083', '1389', '1985', '0']","['170', '254', '348', '435', '0']","['137', '196', '273', '322', '60']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年8月11日 16:00
隐现,5,尖兵,能够阻挡两个敌人,70s,12→14,2,1.05s,"['864', '1138', '1560', '2138', '0']","['216', '314', '431', '526', '85']","['157', '231', '313', '392', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年8月11日 16:00
多萝西,6,钩索师,技能可以使敌人产生位移可以放置于远程位,80s,13→15,2,1.8s,"['794', '1073', '1394', '1835', '300']","['320', '458', '596', '745', '0']","['155', '228', '301', '355', '40']","['0', '0', '0', '0', '0']","[3, 4, 4]",2022年8月11日 16:00
夜魔,6,速射手,优先攻击空中单位,80s,13→15,1,1.0s,"['644', '920', '1180', '1440', '0']","['177', '295', '428', '522', '75']","['63', '105', '150', '178', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年8月11日 16:00
米格鲁,5,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,70s,11→13,1,1.0s,"['975', '1355', '1738', '2484', '0']","['250', '369', '492', '586', '85']","['173', '241', '313', '382', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年9月8日 16:00
车尔尼,6,术战者,攻击造成法术伤害,70s,18→20,1,1.25s,"['1069', '1407', '1782', '2345', '0']","['273', '396', '515', '644', '35']","['158', '230', '296', '357', '35']","['10', '10', '10', '15', '0']","[2, 2, 2]",2022年9月8日 16:00
梓兰,4,行商,再部署时间减少，撤退时不返还部署费用，在场时每3秒消耗3点部署费用（不足时自动撤退）,25s,7→9,1,1.0s,"['1179', '1552', '1917', '2427', '300']","['376', '516', '654', '789', '55']","['240', '308', '395', '465', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年9月15日 16:00
狮蝎,3,驭械术师,操作浮游单元造成法术伤害单元攻击同一敌人伤害提升（最高造成干员110%攻击力的伤害）,70s,18→20,1,1.3s,"['589', '842', '1094', '1440', '0']","['145', '205', '264', '315', '60']","['47', '72', '100', '120', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2022年9月27日 16:00
香草,5,中坚术师,攻击造成法术伤害,70s,19→21,1,1.6s,"['743', '1062', '1380', '1770', '0']","['287', '399', '525', '633', '90']","['49', '84', '116', '130', '0']","['10', '10', '15', '20', '0']","[9, 10, 10]",2022年9月27日 16:00
截云,5,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,70s,8→10,1,1.0s,"['688', '956', '1226', '——', '0']","['229', '333', '445', '——', '50']","['148', '212', '279', '——', '0']","['0', '0', '0', '——', '0']","[2, 2]",2022年9月27日 16:00
安赛尔,4,散射手,攻击范围内的所有敌人，对自己前方一横排的敌人攻击力提升至150%,70s,29→32,1,2.3s,"['1110', '1481', '1875', '2501', '0']","['351', '502', '649', '773', '80']","['110', '143', '182', '203', '0']","['0', '0', '0', '0', '0']","[5, 7, 7]",2022年10月11日 16:00
流明,5,削弱者,攻击造成法术伤害,70s,10→12,1,1.6s,"['677', '996', '1347', '1728', '0']","['184', '263', '338', '408', '65']","['48', '70', '92', '105', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2022年10月11日 16:00
蜜蜡,5,速射手,优先攻击空中单位,80s,13→15,1,1.0s,"['679', '971', '1246', '1520', '0']","['169', '283', '411', '502', '75']","['61', '103', '148', '176', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年10月11日 16:00
格拉尼,6,扩散术师,攻击造成群体法术伤害,70s,31→34,1,2.9s,"['808', '1123', '1404', '1801', '0']","['426', '601', '771', '918', '110']","['50', '77', '106', '127', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2022年10月11日 16:00
极境,4,护佑者,攻击造成法术伤害，技能开启后改为治疗友方单位（治疗量相当于75%攻击力）,70s,10→12,1,1.6s,"['674', '992', '1341', '1720', '300']","['200', '287', '369', '445', '40']","['81', '117', '154', '175', '0']","['15', '15', '20', '25', '0']","[12, 16, 16]",2022年11月1日 16:00
爱丽丝,5,阵法术师,通常时不攻击且防御力和法术抗性大幅度提升，技能开启时攻击造成群体法术伤害,70s,21→23,1,2.0s,"['1052', '1315', '1644', '2005', '0']","['378', '505', '632', '735', '70']","['131', '153', '178', '205', '20']","['15', '15', '15', '15', '0']","[9, 13, 13]",2022年11月1日 16:00
黑角,5,扩散术师,攻击造成群体法术伤害,70s,29→32,1,2.9s,"['653', '934', '1214', '1598', '0']","['332', '468', '600', '715', '70']","['47', '72', '99', '118', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2022年11月1日 16:00
承曦格雷伊,6,冲锋手,击杀敌人后获得1点部署费用，撤退时返还初始部署费用,70s,10→12,1,1.0s,"['870', '1209', '1550', '2215', '0']","['240', '354', '472', '562', '70']","['164', '229', '298', '364', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年11月1日 16:00
霜叶,6,要塞,不阻挡敌人时优先远程群体物理攻击,70s,23→25→27,2→3→3,2.8s,"['1293', '1725', '2301', '3207', '0']","['446', '573', '717', '865', '50']","['194', '291', '394', '541', '50']","['0', '0', '0', '0', '0']","[7, 7, 8]",2022年11月1日 16:00
蜜莓,6,守护者,技能可以治疗友方单位,70s,17→19→21,2→3→3,1.2s,"['1172', '1584', '2032', '2823', '200']","['182', '261', '353', '442', '0']","['244', '359', '479', '585', '60']","['10', '10', '10', '10', '0']","[1, 1, 1]",2022年11月1日 16:00
假日威龙陈,5,重剑手,同时攻击阻挡的所有敌人,70s,18→20→22,2,2.5s,"['2229', '3096', '4074', '5432', '300']","['620', '886', '1151', '1387', '50']","['0', '0', '0', '0', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2022年12月15日 16:00
松果,5,群愈师,同时恢复三个友方单位的生命,70s,16→18,1,2.85s,"['796', '1076', '1346', '1705', '0']","['132', '210', '280', '350', '70']","['80', '107', '140', '169', '0']","['5', '5', '5', '5', '0']","[10, 12, 12]",2022年12月15日 16:00
陈,6,速射手,优先攻击空中单位,70s,12→14,1,1.0s,"['711', '1016', '1338', '1673', '0']","['183', '305', '437', '540', '90']","['57', '95', '136', '161', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2022年12月15日 16:00
但书,5,不屈者,无法被友方角色治疗,70s,32→34→36,2→3→3,1.6s,"['1732', '2279', '2960', '4055', '600']","['368', '512', '683', '876', '40']","['234', '355', '474', '616', '0']","['10', '10', '10', '10', '0']","[2, 2, 2]",2023年1月17日 16:00
火哨,5,工匠,能够阻挡两个敌人，使用<支援装置>协助作战,70s,14→16→18,2,1.5s,"['1182', '1620', '2080', '2600', '0']","['238', '351', '468', '565', '40']","['193', '277', '357', '425', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年1月17日 16:00
拉普兰德,6,强攻手,同时攻击阻挡的所有敌人,70s,18→20→22,2→2→3,1.2s,"['1140', '1462', '1875', '2500', '350']","['278', '387', '524', '690', '0']","['133', '190', '258', '315', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年1月17日 16:00
白面鸮,6,术战者,攻击造成法术伤害,70s,19→21,1,1.25s,"['1150', '1514', '1917', '2523', '0']","['283', '411', '534', '660', '30']","['177', '254', '326', '393', '55']","['10', '10', '10', '15', '0']","[2, 2, 2]",2023年1月17日 16:00
瑕光,5,强攻手,同时攻击阻挡的所有敌人,70s,18→20→22,2→2→3,1.2s,"['1108', '1421', '1822', '2430', '0']","['284', '395', '535', '705', '0']","['135', '193', '262', '320', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年2月14日 16:00
银灰,6,速射手,优先攻击空中单位,70s,11→13,1,1.0s,"['667', '954', '1224', '1493', '0']","['173', '289', '420', '513', '75']","['53', '89', '128', '152', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2023年2月14日 16:00
四月,1,推击手,同时攻击阻挡的所有敌人可以放置于远程位,70s,19→21,2,1.2s,"['984', '1313', '1663', '2133', '0']","['295', '411', '548', '677', '45']","['163', '248', '327', '394', '45']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年3月7日 16:00
摩根,5,铁卫,能够阻挡三个敌人,70s,14,3,1.2s,"['1219', '1670', '——', '——', '0']","['180', '240', '——', '——', '0']","['220', '315', '——', '——', '40']","['0', '0', '——', '——', '0']",[1],2023年3月7日 16:00
华法琳,6,重射手,高精度的近距离射击,70s,16→18→20,1,1.6s,"['781', '1086', '1393', '1833', '0']","['357', '490', '646', '840', '100']","['86', '123', '164', '225', '0']","['0', '0', '0', '0', '0']","[7, 9, 9]",2023年3月7日 16:00
空,1,扩散术师,攻击造成群体法术伤害,70s,27→30,1,2.9s,"['614', '878', '1141', '——', '0']","['321', '453', '582', '——', '60']","['41', '69', '95', '——', '0']","['10', '10', '15', '——', '0']","[7, 9]",2023年4月1日 16:00
霜华,4,情报官,再部署时间减少，可使用远程攻击,35s,10→12,1,1.0s,"['832', '1189', '1525', '1860', '0']","['239', '352', '464', '566', '40']","['85', '143', '205', '244', '20']","['0', '0', '0', '0', '0']","[3, 3, 3]",2023年4月6日 16:00
安洁莉娜,5,轰击术师,攻击造成超远距离的群体法术伤害,70s,31→34,1,2.9s,"['687', '982', '1276', '1680', '0']","['377', '563', '722', '870', '110']","['52', '79', '109', '130', '0']","['10', '10', '15', '20', '0']","[5, 6, 6]",2023年4月6日 16:00
贾维,5,驭法铁卫,技能开启时普通攻击会造成法术伤害,70s,21→23→25,3,1.6s,"['1252', '1692', '2257', '3135', '0']","['265', '379', '506', '633', '40']","['223', '328', '444', '555', '40']","['5', '5', '10', '15', '0']","[1, 1, 1]",2023年4月6日 16:00
鸿雪,6,扩散术师,攻击造成群体法术伤害,80s,32→35,1,2.9s,"['692', '962', '1203', '1543', '0']","['370', '522', '670', '798', '90']","['46', '70', '96', '115', '0']","['10', '10', '15', '20', '0']","[7, 9, 9]",2023年4月6日 16:00
淬羽赫默,5,斗士,能够阻挡一个敌人,70s,9→11,1,0.78s,"['1298', '1755', '2250', '2745', '0']","['242', '356', '475', '587', '45']","['154', '221', '299', '357', '45']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年5月1日 16:00
泡泡,6,速射手,优先攻击空中单位,60s,10→12,1,1.0s,"['693', '990', '1270', '1549', '0']","['206', '344', '499', '595', '0']","['55', '93', '134', '159', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]",2023年5月1日 16:00
伺夜,6,斗士,能够阻挡一个敌人,70s,8→10,1,0.78s,"['1180', '1595', '2045', '2495', '0']","['224', '330', '441', '545', '75']","['144', '207', '280', '334', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年5月1日 16:00
石棉,6,执旗手,技能发动期间阻挡数变为0,70s,9→11,1,1.3s,"['702', '962', '1218', '1669', '0']","['237', '339', '447', '533', '0']","['154', '215', '284', '335', '60']","['0', '0', '0', '0', '0']","[2, 2, 2]",2023年5月1日 16:00
桃金娘,1,中坚术师,攻击造成法术伤害,70s,16→18,1,1.6s,"['592', '847', '1100', '——', '0']","['249', '357', '470', '——', '50']","['38', '65', '90', '——', '0']","['10', '10', '15', '——', '0']","[9, 10]",2023年5月22日 16:00
